Original Sort,Department #,Department,Primary,Secondary,Minor
1,1,Books,"Art, Architecture, Photography & Design",Architecture,Architecture & Design
2,1,Books,"Art, Architecture, Photography & Design",Architecture,Architectural Practice
3,1,Books,"Art, Architecture, Photography & Design",Architecture,Architects
4,1,Books,"Art, Architecture, Photography & Design",Architecture,Architectural History
5,1,Books,"Art, Architecture, Photography & Design",Architecture,Classical
6,1,Books,"Art, Architecture, Photography & Design",Architecture,Medieval
7,1,Books,"Art, Architecture, Photography & Design",Architecture,Renaissance
8,1,Books,"Art, Architecture, Photography & Design",Architecture,17th Century
9,1,Books,"Art, Architecture, Photography & Design",Architecture,18th Century
10,1,Books,"Art, Architecture, Photography & Design",Architecture,19th Century
11,1,Books,"Art, Architecture, Photography & Design",Architecture,20th Century
12,1,Books,"Art, Architecture, Photography & Design",Architecture,Post-Modern
13,1,Books,"Art, Architecture, Photography & Design",Architecture,Professional Design
14,1,Books,"Art, Architecture, Photography & Design",Art,Clip Art
15,1,Books,"Art, Architecture, Photography & Design",Art,Stereograms
16,1,Books,"Art, Architecture, Photography & Design",Art,Architecture
17,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Art History & Criticism
18,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Ancient/Classical
19,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Renaissance
20,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,17th Century
21,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,18th Century
22,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,19th Century
23,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,World Art
24,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,Impressionism
25,1,Books,"Art, Architecture, Photography & Design",Art History & Criticism,20th Century
26,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Art Techniques
27,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Drawing
28,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Watercolor
29,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Color Theory
30,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Calligraphy
31,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Sculpture Techniques
32,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Sculpture
33,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Painting
34,1,Books,"Art, Architecture, Photography & Design",Art Techniques & Media,Stencil Art
35,1,Books,"Art, Architecture, Photography & Design","Artists, Monographs & Collections",Collections
36,1,Books,"Art, Architecture, Photography & Design","Artists, Monographs & Collections",Artists
37,1,Books,"Art, Architecture, Photography & Design","Design, Fashion & Art Careers",Couture
38,1,Books,"Art, Architecture, Photography & Design","Design, Fashion & Art Careers",Graphic Design
39,1,Books,"Art, Architecture, Photography & Design","Design, Fashion & Art Careers",Art Business & Careers
40,1,Books,"Art, Architecture, Photography & Design",Photography,Technique & How-To
41,1,Books,"Art, Architecture, Photography & Design",Photography,Nature Photography
42,1,Books,"Art, Architecture, Photography & Design",Photography,35mm Photography
43,1,Books,"Art, Architecture, Photography & Design",Photography,Camera
44,1,Books,"Art, Architecture, Photography & Design",Photography,Photo Essays
45,1,Books,"Art, Architecture, Photography & Design",Photography,Fashion Photography
46,1,Books,"Art, Architecture, Photography & Design",Photography,Darkrooms
47,1,Books,"Art, Architecture, Photography & Design",Photography,Photography Business
48,1,Books,"Art, Architecture, Photography & Design",Photography,Monographs
49,1,Books,"Art, Architecture, Photography & Design",Photography,Ansel Adams
50,1,Books,"Business, Economics & Careers",Business & Management,General Business
51,1,Books,"Business, Economics & Careers",Business & Management,Customer Service
52,1,Books,"Business, Economics & Careers",Business & Management,Accounting
53,1,Books,"Business, Economics & Careers",Business & Management,Management
54,1,Books,"Business, Economics & Careers",Business & Management,Small Business
55,1,Books,"Business, Economics & Careers",Business & Management,Sales
56,1,Books,"Business, Economics & Careers",Business & Management,Marketing
57,1,Books,"Business, Economics & Careers",Business & Management,Advertising
58,1,Books,"Business, Economics & Careers",Business & Management,Human Resources
59,1,Books,"Business, Economics & Careers",Business & Management,Consulting
60,1,Books,"Business, Economics & Careers",Business & Management,Manufacturing
61,1,Books,"Business, Economics & Careers",Business & Management,Business Life
62,1,Books,"Business, Economics & Careers",Business & Management,Retail
63,1,Books,"Business, Economics & Careers",Business Reference & Biography,Business Ref
64,1,Books,"Business, Economics & Careers",Business Reference & Biography,Business Biography & Corporate Profiles
65,1,Books,"Business, Economics & Careers",Careers & Job Search,Careers
66,1,Books,"Business, Economics & Careers",Careers & Job Search,Résumés & Interviews
67,1,Books,"Business, Economics & Careers","Economics, Trade & Labor",Economics
68,1,Books,"Business, Economics & Careers","Economics, Trade & Labor",Foreign Trade
69,1,Books,"Business, Economics & Careers","Economics, Trade & Labor",Labor
70,1,Books,"Business, Economics & Careers","Finance, Investing & Real Estate",Finance/Banking
71,1,Books,"Business, Economics & Careers","Finance, Investing & Real Estate",Real Estate
72,1,Books,"Business, Economics & Careers","Finance, Investing & Real Estate",Personal Finance
73,1,Books,"Business, Economics & Careers","Finance, Investing & Real Estate","Securities, Commodities & Futures"
74,1,Books,"Business, Economics & Careers","Finance, Investing & Real Estate",Investing & Commodities
75,1,Books,"Business, Economics & Careers",Nonprofit & Fundraising,Fundraising
126,1,Books,"Cooking, Food & Drink","Appliances, Grilling & Technique",Appliance Cooking
127,1,Books,"Cooking, Food & Drink","Appliances, Grilling & Technique",Appliance Cooking & Grilling
128,1,Books,"Cooking, Food & Drink",Diet & Special Diets,Diet & Weight Management
129,1,Books,"Cooking, Food & Drink",Diet & Special Diets,Vegetarian
130,1,Books,"Cooking, Food & Drink","General Cooking, Entertaining & Professional",General Cookbooks
131,1,Books,"Cooking, Food & Drink","General Cooking, Entertaining & Professional",Entertaining & Gift Cookbooks
132,1,Books,"Cooking, Food & Drink","General Cooking, Entertaining & Professional",Professional
133,1,Books,"Cooking, Food & Drink",Wine & Spirits,Wines/Spirits
134,1,Books,"Cooking, Food & Drink",World & Regional Cuisines,French
135,1,Books,"Cooking, Food & Drink",World & Regional Cuisines,Italian
136,1,Books,"Cooking, Food & Drink",World & Regional Cuisines,Jewish
137,1,Books,"Cooking, Food & Drink",World & Regional Cuisines,Mexican
138,1,Books,"Cooking, Food & Drink",World & Regional Cuisines,Asian
139,1,Books,"Cooking, Food & Drink",World & Regional Cuisines,Other International Cuisines
140,1,Books,Fiction & Literature,Boxed Sets,Box Sets
141,1,Books,Fiction & Literature,General Fiction,Paperback Fiction
142,1,Books,Fiction & Literature,General Fiction,Latin American Fiction
143,1,Books,Fiction & Literature,General Fiction,Fiction & Literature
144,1,Books,Fiction & Literature,General Fiction,Anthologies
145,1,Books,Fiction & Literature,"Literature, Essays & Criticism",Fiction & Literature
146,1,Books,Fiction & Literature,"Literature, Essays & Criticism",Essays & Memoir
147,1,Books,Fiction & Literature,"Literature, Essays & Criticism",Literary Theory
148,1,Books,Fiction & Literature,"Literature, Essays & Criticism",Mythology
149,1,Books,Fiction & Literature,Poetry,Poetry General
150,1,Books,Fiction & Literature,Poetry,"Poets, Anthologies & Commentary"
151,1,Books,Fiction & Literature,Westerns,Westerns
152,1,Books,Gift Books,Little Gift Books,Little Gift Books — Hardcover
153,1,Books,Gift Books,Little Gift Books,Little Gift Books — Paperback
154,1,Books,"Graphic Novels, Manga & Comics",Graphic Novels,Graphic Novels
155,1,Books,"Graphic Novels, Manga & Comics",Periodical Comics,Comic Books
156,1,Books,"Health, Wellness & Family",Alternative & Complementary Medicine,Alternative Med
157,1,Books,"Health, Wellness & Family",Alternative & Complementary Medicine,Herbal Medicine
158,1,Books,"Health, Wellness & Family",Alternative & Complementary Medicine,Massage/Reflexology
159,1,Books,"Health, Wellness & Family",Alternative & Complementary Medicine,Aromatherapy
160,1,Books,"Health, Wellness & Family",Conditions & Diseases,Allergies
161,1,Books,"Health, Wellness & Family",Conditions & Diseases,Cancer
162,1,Books,"Health, Wellness & Family",Conditions & Diseases,Diabetes
163,1,Books,"Health, Wellness & Family",Conditions & Diseases,Heart Disease
164,1,Books,"Health, Wellness & Family",Conditions & Diseases,Aids
165,1,Books,"Health, Wellness & Family",Conditions & Diseases,Other Diseases
166,1,Books,"Health, Wellness & Family",Conditions & Diseases,STDs
167,1,Books,"Health, Wellness & Family",Diet & Nutrition,Diets
168,1,Books,"Health, Wellness & Family",Diet & Nutrition,Nutrition
169,1,Books,"Health, Wellness & Family",Diet & Nutrition,Food Counters
170,1,Books,"Health, Wellness & Family","Exercise, Fitness & Yoga",Exercise
171,1,Books,"Health, Wellness & Family","Exercise, Fitness & Yoga",Yoga
172,1,Books,"Health, Wellness & Family","General Health, Beauty & Aging",Health
173,1,Books,"Health, Wellness & Family","General Health, Beauty & Aging",Beauty & Grooming
174,1,Books,"Health, Wellness & Family","General Health, Beauty & Aging",Aging
175,1,Books,"Health, Wellness & Family",Medicine & Nursing,Medical Ref
176,1,Books,"Health, Wellness & Family",Medicine & Nursing,Nursing Procedures
177,1,Books,"Health, Wellness & Family",Medicine & Nursing,Nursing Drug Guides
178,1,Books,"Health, Wellness & Family",Medicine & Nursing,Anatomy/Physiology
179,1,Books,"Health, Wellness & Family",Medicine & Nursing,Nursing Exam Review
180,1,Books,"Health, Wellness & Family",Medicine & Nursing,Allied Health
181,1,Books,"Health, Wellness & Family",Medicine & Nursing,Medicine
182,1,Books,"Health, Wellness & Family",Parenting & Family,Parenting & Child Care
183,1,Books,"Health, Wellness & Family",Parenting & Family,Baby Names
184,1,Books,"Health, Wellness & Family",Parenting & Family,Pregnancy & Childbirth
185,1,Books,"Health, Wellness & Family",Parenting & Family,Divorce & Children
186,1,Books,"Health, Wellness & Family",Parenting & Family,Children with Special Needs
187,1,Books,"Health, Wellness & Family",Parenting & Family,School-Age Children
188,1,Books,"Health, Wellness & Family",Parenting & Family,Infants/Toddlers
189,1,Books,"Health, Wellness & Family",Parenting & Family,Adoption
190,1,Books,"Health, Wellness & Family",Parenting & Family,Sex Education
191,1,Books,"Health, Wellness & Family",Parenting & Family,Activities
192,1,Books,"Health, Wellness & Family",Women's & Reproductive Health,Fertility/Miscarriage
193,1,Books,"Health, Wellness & Family",Women's & Reproductive Health,Womens Health
194,1,Books,"History, Biography & Politics","Ancient, Medieval & Renaissance History",Ancient Hist
195,1,Books,"History, Biography & Politics","Ancient, Medieval & Renaissance History",Medieval & Renaissance History
196,1,Books,"History, Biography & Politics",Military History,Military History
197,1,Books,"History, Biography & Politics",Politics & Current Affairs,United States Current Affairs
198,1,Books,"History, Biography & Politics",Politics & Current Affairs,Media & Journalism
199,1,Books,"History, Biography & Politics",Politics & Current Affairs,US Politics
200,1,Books,"History, Biography & Politics",Politics & Current Affairs,International Current Affairs
201,1,Books,"History, Biography & Politics",Politics & Current Affairs,International Politics
202,1,Books,"History, Biography & Politics",Regional & National History,Japan Hist
203,1,Books,"History, Biography & Politics",Regional & National History,Irish History
204,1,Books,"History, Biography & Politics",Regional & National History,Eur History
205,1,Books,"History, Biography & Politics",Regional & National History,Middle Eastern History
206,1,Books,"History, Biography & Politics",Regional & National History,African Hist
207,1,Books,"History, Biography & Politics",Regional & National History,Asian Hist
208,1,Books,"History, Biography & Politics",Regional & National History,British Hist
209,1,Books,"History, Biography & Politics",Regional & National History,Latin Amer Hist
210,1,Books,"History, Biography & Politics",Regional & National History,Eastern European History
211,1,Books,"History, Biography & Politics",Regional & National History,Israel Hist
212,1,Books,"History, Biography & Politics",Regional & National History,Northern European History
213,1,Books,"History, Biography & Politics",Regional & National History,Caribbean Hist
214,1,Books,"History, Biography & Politics",Regional & National History,Chinese Hist
215,1,Books,"History, Biography & Politics",Regional & National History,Western European History
216,1,Books,"History, Biography & Politics",United States History & Biography,United States History
217,1,Books,"History, Biography & Politics",United States History & Biography,United States Biography
218,1,Books,"History, Biography & Politics",United States History & Biography,Civil War
219,1,Books,"History, Biography & Politics",United States History & Biography,Urban Studies
220,1,Books,"History, Biography & Politics",World History & Biography,World Hist
221,1,Books,"History, Biography & Politics",World History & Biography,World Biography
222,1,Books,"History, Biography & Politics",World History & Biography,General History
223,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Antiques Gen
224,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Price Guides
225,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Coins
226,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Dolls
227,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Glass/Stained G
228,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Jewelry
229,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,"Pottery, Porcelain & China"
230,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Stamps
231,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,General Collecting
232,1,Books,"Home, Garden, Crafts & Collecting",Antiques & Collectibles,Sports Cards
233,1,Books,"Home, Garden, Crafts & Collecting","Ceramics, Glass & Jewelry",Ceramics/Pottery
234,1,Books,"Home, Garden, Crafts & Collecting","Ceramics, Glass & Jewelry",Glass & Stained Glass
235,1,Books,"Home, Garden, Crafts & Collecting","Ceramics, Glass & Jewelry",Jewelry & Metalworking
236,1,Books,"Home, Garden, Crafts & Collecting",Gardening,Outdoor Gardening
237,1,Books,"Home, Garden, Crafts & Collecting",Gardening,Indoor Gardening
238,1,Books,"Home, Garden, Crafts & Collecting",Gardening,"Fruits, Vegetables & Herbs"
239,1,Books,"Home, Garden, Crafts & Collecting",Gardening,Flower Gardening
240,1,Books,"Home, Garden, Crafts & Collecting","General Crafts, Tools & Projects",Crafts & Hobbies
241,1,Books,"Home, Garden, Crafts & Collecting","General Crafts, Tools & Projects",Artisans & Craftspeople
242,1,Books,"Home, Garden, Crafts & Collecting","General Crafts, Tools & Projects",Tools
243,1,Books,"Home, Garden, Crafts & Collecting","General Crafts, Tools & Projects",Projects & Plans
244,1,Books,"Home, Garden, Crafts & Collecting",Home & Decorating,House & Home
245,1,Books,"Home, Garden, Crafts & Collecting",Home & Decorating,Carpentry
246,1,Books,"Home, Garden, Crafts & Collecting",Home & Decorating,Decorating
247,1,Books,"Home, Garden, Crafts & Collecting",Home & Decorating,House Plans
248,1,Books,"Home, Garden, Crafts & Collecting",Home & Decorating,Home Repair & Renovation
249,1,Books,"Home, Garden, Crafts & Collecting",Home & Decorating,Design & Lifestyle
250,1,Books,"Home, Garden, Crafts & Collecting",Models & Doll Making,Modeling
251,1,Books,"Home, Garden, Crafts & Collecting",Models & Doll Making,Doll Making
252,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Needlecrafts
253,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Quilting & Patchwork
254,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Sewing
255,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts","Embroidery, Cross-Stitch & Needlepoint"
256,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Knitting & Crochet
257,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Weaving & Rug Making
258,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Lace/Tatting
259,1,Books,"Home, Garden, Crafts & Collecting","Needlecrafts, Sewing & Fiber Arts",Fabric Painting & Dyeing
260,1,Books,"Home, Garden, Crafts & Collecting","Paper, Floral & Decorative Crafts",Floral Crafts
261,1,Books,"Home, Garden, Crafts & Collecting","Paper, Floral & Decorative Crafts",Basketry
262,1,Books,"Home, Garden, Crafts & Collecting","Paper, Floral & Decorative Crafts",Printmaking
263,1,Books,"Home, Garden, Crafts & Collecting","Paper, Floral & Decorative Crafts",Stenciling
264,1,Books,"Home, Garden, Crafts & Collecting","Paper, Floral & Decorative Crafts",Papercrafts
265,1,Books,"Home, Garden, Crafts & Collecting","Woodworking, Furniture & Carving",Woodworking
266,1,Books,"Home, Garden, Crafts & Collecting","Woodworking, Furniture & Carving",Furniture Making
267,1,Books,"Home, Garden, Crafts & Collecting","Woodworking, Furniture & Carving",Carving
268,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",General Games
269,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Crosswords
270,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Scrabble
271,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Pool & Billiards
272,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Logic & Brain Teasers
273,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Horse Racing & Gambling
274,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Chess
275,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Card Games
276,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Magic
277,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Casino Games
278,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Poker
279,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Blackjack
280,1,Books,"Humor, Games & Puzzles","Games, Puzzles & Gambling",Computer Games
281,1,Books,"Humor, Games & Puzzles",Humor,Humor
282,1,Books,"Humor, Games & Puzzles",Humor,Cartoons & Cartooning
283,1,Books,"Humor, Games & Puzzles",Role-Playing Games,Role Playing
284,1,Books,Languages & Bilingual,Books in Other Languages,Literature
285,1,Books,Languages & Bilingual,Books in Other Languages,Non Fiction
286,1,Books,Languages & Bilingual,Language Learning,Other Foreign Languages
287,1,Books,Languages & Bilingual,Language Learning,Spanish
288,1,Books,Languages & Bilingual,Language Learning,French
289,1,Books,Languages & Bilingual,Language Learning,German
290,1,Books,Languages & Bilingual,Language Learning,Italian
291,1,Books,Languages & Bilingual,Language Learning,Japanese
292,1,Books,Languages & Bilingual,Spanish-Language Books,Novelas
293,1,Books,Languages & Bilingual,Spanish-Language Books,Literatura
294,1,Books,Languages & Bilingual,Spanish-Language Books,Novelas Románticas
295,1,Books,Languages & Bilingual,Spanish-Language Books,Novelas Policíacas
