Original Sort,Department #,Department,Primary,Secondary,Minor
541,1,Books,"Science, Technology & Computing","Networks, Telecom & Enterprise Systems",Network Applications
542,1,Books,"Science, Technology & Computing","Networks, Telecom & Enterprise Systems",Telecommunication
543,1,Books,"Science, Technology & Computing","Networks, Telecom & Enterprise Systems",Client-Server Technology
544,1,Books,"Science, Technology & Computing","Networks, Telecom & Enterprise Systems",Mainframe Computer Systems
545,1,Books,"Science, Technology & Computing",Operating Systems & Applications,Windows 95
546,1,Books,"Science, Technology & Computing",Operating Systems & Applications,DOS Manuals
547,1,Books,"Science, Technology & Computing",Operating Systems & Applications,Windows NT
548,1,Books,"Science, Technology & Computing",Operating Systems & Applications,DOS Appl.
549,1,Books,"Science, Technology & Computing",Operating Systems & Applications,OS/2
550,1,Books,"Science, Technology & Computing",Operating Systems & Applications,UNIX
551,1,Books,"Science, Technology & Computing",Operating Systems & Applications,LINUX
552,1,Books,"Science, Technology & Computing",Operating Systems & Applications,Xwindows
553,1,Books,"Science, Technology & Computing",Operating Systems & Applications,Windows Manl
554,1,Books,"Science, Technology & Computing",Operating Systems & Applications,Windows Applications
555,1,Books,"Science, Technology & Computing","Physics, Mathematics & Cognitive Science",Physics
556,1,Books,"Science, Technology & Computing","Physics, Mathematics & Cognitive Science",Mathematics
557,1,Books,"Science, Technology & Computing","Physics, Mathematics & Cognitive Science",Statistics & Probability
558,1,Books,"Science, Technology & Computing","Physics, Mathematics & Cognitive Science",Complexity
559,1,Books,"Science, Technology & Computing","Physics, Mathematics & Cognitive Science",Cognitive Science
560,1,Books,"Science, Technology & Computing",Programming Languages,BASIC & Visual Basic
561,1,Books,"Science, Technology & Computing",Programming Languages,"C, C++ & Visual C"
562,1,Books,"Science, Technology & Computing",Programming Languages,Pascal & Turbo Pascal
563,1,Books,"Science, Technology & Computing",Software Development & Databases,Database Programming
564,1,Books,"Science, Technology & Computing",Software Development & Databases,Advanced Mainframe Programming
565,1,Books,"Science, Technology & Computing",Software Development & Databases,Graphics Programming
566,1,Books,"Science, Technology & Computing",Software Development & Databases,Software Engineering
567,1,Books,"Science, Technology & Computing","Technology, Electronics & Radio",Consumer Electronics
568,1,Books,"Science, Technology & Computing","Technology, Electronics & Radio",Technology
569,1,Books,"Science, Technology & Computing","Technology, Electronics & Radio",Amateur Radio
570,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Asian Studies
571,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Cultural Studies
572,1,Books,Society & Cultural Studies,Cultural & Identity Studies,African American Studies
573,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Women’s Studies
574,1,Books,Society & Cultural Studies,Cultural & Identity Studies,LGBTQ+ Studies
575,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Hispanic Studies
576,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Gay Fiction
577,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Gay Nonfiction
578,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Lesbian Fiction
579,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Lesbian Nonfiction
580,1,Books,Society & Cultural Studies,Cultural & Identity Studies,African Studies
581,1,Books,Society & Cultural Studies,Cultural & Identity Studies,Native American Studies
582,1,Books,Society & Cultural Studies,Social Sciences,Anthropology
583,1,Books,Society & Cultural Studies,Social Sciences,Archaeology
584,1,Books,Society & Cultural Studies,Social Sciences,Sociology
585,1,Books,"Travel, Local & Regional",International Travel,Travel Foreign
586,1,Books,"Travel, Local & Regional",International Travel,Mexico
587,1,Books,"Travel, Local & Regional",International Travel,Caribbean
588,1,Books,"Travel, Local & Regional",International Travel,Canada
589,1,Books,"Travel, Local & Regional",International Travel,Eastern Europe & Russia
590,1,Books,"Travel, Local & Regional",International Travel,Western Europe
591,1,Books,"Travel, Local & Regional",International Travel,Great Britain
592,1,Books,"Travel, Local & Regional",International Travel,Africa & Middle East
593,1,Books,"Travel, Local & Regional",International Travel,India & South Asia
594,1,Books,"Travel, Local & Regional",International Travel,Japan
595,1,Books,"Travel, Local & Regional",International Travel,East Asia
596,1,Books,"Travel, Local & Regional",International Travel,Central America
597,1,Books,"Travel, Local & Regional",International Travel,Ireland
598,1,Books,"Travel, Local & Regional",International Travel,Israel
599,1,Books,"Travel, Local & Regional",International Travel,Germany
600,1,Books,"Travel, Local & Regional",International Travel,France
601,1,Books,"Travel, Local & Regional",International Travel,Paris
602,1,Books,"Travel, Local & Regional",International Travel,Italy
603,1,Books,"Travel, Local & Regional",International Travel,Spain/Portugal
604,1,Books,"Travel, Local & Regional",International Travel,Greece & Mediterranean
605,1,Books,"Travel, Local & Regional",International Travel,Benelux
606,1,Books,"Travel, Local & Regional",International Travel,Scandinavia
607,1,Books,"Travel, Local & Regional",International Travel,Switzerland & Austria
608,1,Books,"Travel, Local & Regional",International Travel,South America
609,1,Books,"Travel, Local & Regional",International Travel,Oceania
610,1,Books,"Travel, Local & Regional",Local & Regional Interest,Regional General
611,1,Books,"Travel, Local & Regional",Local & Regional Interest,Restaurant Guides
612,1,Books,"Travel, Local & Regional",Local & Regional Interest,Pictorials
613,1,Books,"Travel, Local & Regional",Local & Regional Interest,Humor
614,1,Books,"Travel, Local & Regional",Local & Regional Interest,Local Travel
615,1,Books,"Travel, Local & Regional",Local & Regional Interest,Reference
616,1,Books,"Travel, Local & Regional",Local & Regional Interest,History & Biography
617,1,Books,"Travel, Local & Regional",Local & Regional Interest,Transportation
618,1,Books,"Travel, Local & Regional",Local & Regional Interest,Nature
619,1,Books,"Travel, Local & Regional",Local & Regional Interest,Sports
620,1,Books,"Travel, Local & Regional",Local & Regional Interest,Literature
621,1,Books,"Travel, Local & Regional",Local & Regional Interest,Cooking
622,1,Books,"Travel, Local & Regional",Local & Regional Interest,Gardening
623,1,Books,"Travel, Local & Regional",Local & Regional Interest,Business
624,1,Books,"Travel, Local & Regional",Local & Regional Interest,Current Affairs
625,1,Books,"Travel, Local & Regional",Local & Regional Interest,Juvenile
626,1,Books,"Travel, Local & Regional",Local & Regional Interest,Art & Architecture
627,1,Books,"Travel, Local & Regional",Local & Regional Interest,Native American
628,1,Books,"Travel, Local & Regional",Local & Regional Interest,Hiking/Camping
629,1,Books,"Travel, Local & Regional",Local & Regional Interest,Folklore
630,1,Books,"Travel, Local & Regional",Local & Regional Interest,Holiday
631,1,Books,"Travel, Local & Regional",Local & Regional Interest,Cowboys
632,1,Books,"Travel, Local & Regional",Local & Regional Interest,General
633,1,Books,"Travel, Local & Regional",Local & Regional Interest,Art/Architecture
634,1,Books,"Travel, Local & Regional",Local & Regional Interest,Amish/Mennonite
635,1,Books,"Travel, Local & Regional",Transportation,Auto Buying Guides
636,1,Books,"Travel, Local & Regional",Transportation,Cars & Trucks
637,1,Books,"Travel, Local & Regional",Transportation,Ships
638,1,Books,"Travel, Local & Regional",Transportation,Trains
639,1,Books,"Travel, Local & Regional",Transportation,Planes
640,1,Books,"Travel, Local & Regional",Transportation,Auto Repair
641,1,Books,"Travel, Local & Regional",Travel Writing & General Travel,Travel General
642,1,Books,"Travel, Local & Regional",Travel Writing & General Travel,RV & Campground Guides
643,1,Books,"Travel, Local & Regional",Travel Writing & General Travel,Travel Writing
644,1,Books,"Travel, Local & Regional",Travel Writing & General Travel,Recreational Travel
645,1,Books,"Travel, Local & Regional",Travel Writing & General Travel,Pictorial Travel
646,1,Books,"Travel, Local & Regional",United States Travel,United States Travel
647,1,Books,"Travel, Local & Regional",United States Travel,Road Atlases
648,1,Books,"Travel, Local & Regional",United States Travel,California
649,1,Books,"Travel, Local & Regional",United States Travel,Washington DC
650,1,Books,"Travel, Local & Regional",United States Travel,Alaska
651,1,Books,"Travel, Local & Regional",United States Travel,Florida
652,1,Books,"Travel, Local & Regional",United States Travel,Great Lakes & Upper Midwest
653,1,Books,"Travel, Local & Regional",United States Travel,Hawaii
654,1,Books,"Travel, Local & Regional",United States Travel,NYC
655,1,Books,"Travel, Local & Regional",United States Travel,Texas & South-Central Plains
656,1,Books,"Travel, Local & Regional",United States Travel,South & Southeast
657,1,Books,"Travel, Local & Regional",United States Travel,Southwest & Rocky Mountains
658,1,Books,"Travel, Local & Regional",United States Travel,Mid-Atlantic
659,1,Books,"Travel, Local & Regional",United States Travel,New England
660,1,Books,"Travel, Local & Regional",United States Travel,Pacific NW
661,1,Books,"Travel, Local & Regional",United States Travel,Walt Disney World
662,1,Books,Young Adult,Young Adult Books,Young Adult PB
663,1,Books,Young Adult,Young Adult Books,Sweet Valley High
664,1,Books,Young Adult,Young Adult Books,YA Romance
665,1,Books,Young Adult,Young Adult Books,YA Non Fiction
666,1,Books,Young Adult,Young Adult Books,Thrillers
76,1.1,Books,Children's Books,Board Books & Toddlers,Board & Shaped Books
77,1.1,Books,Children's Books,Board Books & Toddlers,Peggable & Novelty Books
78,1.1,Books,Children's Books,"Children's Activities, Workbooks & Novelty",Children’s Activities
79,1.1,Books,Children's Books,"Children's Activities, Workbooks & Novelty",Children’s Workbooks
80,1.1,Books,Children's Books,"Children's Activities, Workbooks & Novelty",Teacher Resources
81,1.1,Books,Children's Books,"Children's Activities, Workbooks & Novelty",Children’s Novelty Books
82,1.1,Books,Children's Books,"Children's Biography, History & Culture",Children’s Biography
83,1.1,Books,Children's Books,"Children's Biography, History & Culture",Children’s History
84,1.1,Books,Children's Books,"Children's Biography, History & Culture",Native American History & Culture
85,1.1,Books,Children's Books,Children's Classics,Children’s Classics
86,1.1,Books,Children's Books,Children's General Reference & Languages,General Children’s Nonfiction
87,1.1,Books,Children's Books,Children's General Reference & Languages,Children’s Dictionaries
88,1.1,Books,Children's Books,Children's General Reference & Languages,Children’s Language Learning
89,1.1,Books,Children's Books,"Children's Religion, Growing Up & Special Needs",Children’s Religion
90,1.1,Books,Children's Books,"Children's Religion, Growing Up & Special Needs",Growing Up
91,1.1,Books,Children's Books,"Children's Religion, Growing Up & Special Needs",Children with Special Needs
92,1.1,Books,Children's Books,"Children's Science, Nature & Dinosaurs",Children’s Nature
93,1.1,Books,Children's Books,"Children's Science, Nature & Dinosaurs",Children’s Science
94,1.1,Books,Children's Books,"Children's Science, Nature & Dinosaurs",Eyewitness Series
95,1.1,Books,Children's Books,"Children's Science, Nature & Dinosaurs",Dinosaurs
96,1.1,Books,Children's Books,Children's Spanish-Language Books,Libros para Niños
97,1.1,Books,Children's Books,"Children's Sports, Humor, Arts & Cooking",Children’s Sports
98,1.1,Books,Children's Books,"Children's Sports, Humor, Arts & Cooking",Children’s Humor
99,1.1,Books,Children's Books,"Children's Sports, Humor, Arts & Cooking",Children’s Music & Art
100,1.1,Books,Children's Books,"Children's Sports, Humor, Arts & Cooking",Children’s Cookbooks
101,1.1,Books,Children's Books,Early Readers,Early Readers — Hardcover
102,1.1,Books,Children's Books,Early Readers,Early Readers — Paperback
103,1.1,Books,Children's Books,Holidays & Seasonal,Children’s Holidays
104,1.1,Books,Children's Books,Middle Grade Fiction,Middle Grade Fiction — Paperback
105,1.1,Books,Children's Books,Middle Grade Fiction,Middle Grade Fiction — Hardcover
106,1.1,Books,Children's Books,Middle Grade Fiction,Newbery
107,1.1,Books,Children's Books,Picture Books,Picture Books — Hardcover
108,1.1,Books,Children's Books,Picture Books,Picture Books — Paperback
109,1.1,Books,Children's Books,Picture Books,Caldecott
110,1.1,Books,Children's Books,Picture Books,Book & Doll Sets
111,1.1,Books,Children's Books,Picture Books & Classics,Dr. Seuss
112,1.1,Books,Children's Books,Picture Books & Preschool,Preschool Collections
113,1.1,Books,Children's Books,Picture Books & Preschool,Preschool Poetry
114,1.1,Books,Children's Books,Picture Books & Preschool,Disney Preschool
115,1.1,Books,Children's Books,Picture Books & Preschool,General Preschool
116,1.1,Books,Children's Books,Picture Books & Preschool,Electronic Preschool Books
117,1.1,Books,Children's Books,Picture Books & Preschool,Pop-Ups
118,1.1,Books,Children's Books,Picture Books & Preschool,Interactive Books
119,1.1,Books,Children's Books,Series & Characters,Popular Children’s Series
120,1.1,Books,Children's Books,Series & Characters,Adventure Series (legacy gendered label)
121,1.1,Books,Children's Books,Series & Characters,Nancy Drew & Hardy Boys
122,1.1,Books,Children's Books,Series & Characters,The Baby-Sitters Club
123,1.1,Books,Children's Books,Series & Characters,Early Chapter Book Series
124,1.1,Books,Children's Books,Series & Characters,Goosebumps
125,1.1,Books,Children's Books,Series & Characters,American Girl
731,2,Newsstand,Magazines & Newspapers,Magazines,Magazines
732,2,Newsstand,Magazines & Newspapers,Newspapers,Newspapers
724,3,Media,Audio & Video,Audiobooks,Nonfiction Audiobooks
725,3,Media,Audio & Video,Audiobooks,Fiction Audiobooks
726,3,Media,Audio & Video,Audiobooks,Audio Entertainment
727,3,Media,Audio & Video,Children's Audio & Video,Children’s Book-and-Audio Sets
728,3,Media,Audio & Video,Children's Audio & Video,Children’s Audiobooks
729,3,Media,Audio & Video,Children's Audio & Video,Children’s Video
730,3,Media,Audio & Video,Movies & Video,Movies & Video
681,4,Gifts & Stationery,Cards & Correspondence,Cards & Postcards,Single Greeting Cards
682,4,Gifts & Stationery,Cards & Correspondence,Cards & Postcards,Postcards
683,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Journals & Specialty Books,Blank Books & Journals
684,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Journals & Specialty Books,Specialty Books & Diaries
685,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Journals & Specialty Books,Locking Diaries
686,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Journals & Specialty Books,Photo Albums
687,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Journals & Specialty Books,Address Books
688,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Journals & Specialty Books,Decorative Endpaper Books
689,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods",Postcard Books,Postcard Books
690,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods","Stationery, Wrap & Writing Supplies",Gift Wrap
691,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods","Stationery, Wrap & Writing Supplies",Stationery
692,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods","Stationery, Wrap & Writing Supplies",Writing Supplies
693,4,Gifts & Stationery,"Journals, Notebooks & Paper Goods","Stationery, Wrap & Writing Supplies",All-Occasion Boxed Cards
719,4,"Maps, Calendars & Globes","Maps, Calendars & Globes",Calendars,Calendars — Returnable
720,4,"Maps, Calendars & Globes","Maps, Calendars & Globes",Calendars,Calendars — Nonreturnable
721,4,"Maps, Calendars & Globes","Maps, Calendars & Globes",Globes,Globes
694,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Paper Bookmarks
695,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Metal Bookmarks
696,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Other Bookmarks
697,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Bookends
698,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Bookplates
699,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Paperweights
700,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Boxes/Frames
701,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Other Bookish Gifts
702,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Premium Bookmarks
703,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Antioch Bookmarks
704,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,"Bookmarks, Bookends & Desk Gifts",Pomegranate Bookmarks
705,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Reading Aids,Book Holders
706,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Reading Aids,Magnifiers
707,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Reading Aids,Book Lights
708,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Reading Aids,Book Covers
709,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Reading Aids,Other Reading Aids
710,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Reading Aids,Other Electronic Reading Aids
711,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Store-Branded Gifts,Tabletop
712,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Store-Branded Gifts,Apparel
713,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Store-Branded Gifts,Bookbags
714,4,Gifts & Stationery,Reading Accessories & Bookish Gifts,Store-Branded Gifts,Décor & Other
715,4,Gifts & Stationery,Seasonal & Holiday Gifts,Seasonal Gifts,Seasonal Boxed Cards
716,4,Gifts & Stationery,Seasonal & Holiday Gifts,Seasonal Gifts,Seasonal Gift Wrap
717,4,Gifts & Stationery,Seasonal & Holiday Gifts,Seasonal Gifts,Seasonal Ornaments
718,4,Gifts & Stationery,Seasonal & Holiday Gifts,Seasonal Gifts,Other Seasonal Gifts
722,5,"Maps, Calendars & Globes","Maps, Calendars & Globes",Maps,Maps
723,5,"Maps, Calendars & Globes","Maps, Calendars & Globes",Maps,Maps — Nonreturnable
733,5,Toys & Gifts,"Toys, Games & Activity",Children's Novelty & Non-Book,Children’s Non-Book
734,5,Toys & Gifts,"Toys, Games & Activity",Tabletop Games,Tabletop Games
667,7,Café & Food Gifts,Café & Food Gifts,Coffee & Tea Accessories,Tea Accessories
668,7,Café & Food Gifts,Café & Food Gifts,Coffee & Tea Accessories,Coffee Accessories
669,7,Café & Food Gifts,Café & Food Gifts,Coffee & Tea Accessories,Trivets & Coasters
670,7,Café & Food Gifts,Café & Food Gifts,Coffee & Tea Accessories,Electronic & Mechanical Accessories
671,7,Café & Food Gifts,Café & Food Gifts,Coffee & Tea Accessories,Textiles
672,7,Café & Food Gifts,Café & Food Gifts,Coffee & Tea Accessories,Other Accessories
673,7,Café & Food Gifts,Café & Food Gifts,Drinkware & Serveware,Coffee Mugs
674,7,Café & Food Gifts,Café & Food Gifts,Drinkware & Serveware,Teacups
675,7,Café & Food Gifts,Café & Food Gifts,Drinkware & Serveware,Kettles & Brewing Equipment
676,7,Café & Food Gifts,Café & Food Gifts,Drinkware & Serveware,Other Serveware
677,7,Café & Food Gifts,Café & Food Gifts,Packaged Food & Gift Baskets,Gift Baskets
678,7,Café & Food Gifts,Café & Food Gifts,Packaged Food & Gift Baskets,Packaged Cookies
679,7,Café & Food Gifts,Café & Food Gifts,Packaged Food & Gift Baskets,Packaged Beverages
680,7,Café & Food Gifts,Café & Food Gifts,Packaged Food & Gift Baskets,Packaged Chocolate